Level;Country;State;County;Longitude;Latitude;Zoom factor;
2;India;Andaman And Nicobar Island;Oal-hetaih;93.3166667;7.9166667;11;
2;India;Andaman And Nicobar Island;Namunaghar;92.6833333;11.65;11;
2;India;Andaman And Nicobar Island;Nachuge;92.35;10.7833333;11;
2;India;Andaman And Nicobar Island;Mus;92.7833333;9.2333333;11;
2;India;Andaman And Nicobar Island;Moshoit;93.5166667;8.1666667;11;
2;India;Andaman And Nicobar Island;Mohean;93.3166667;7.9666667;11;
2;India;Andaman And Nicobar Island;Mitha Khari;92.6666667;11.65;11;
2;India;Andaman And Nicobar Island;Mayabandar;92.9333333;12.9333333;11;
2;India;Andaman And Nicobar Island;Mattai-ta-hoe;93.5666667;7.9833333;11;
2;India;Andaman And Nicobar Island;Mathura;92.6833333;11.7166667;11;
2;India;Andaman And Nicobar Island;Matait-anla;93.8833333;6.8333333;11;
2;India;Andaman And Nicobar Island;Maru;93.4833333;8.1;11;
2;India;Andaman And Nicobar Island;Manpur;92.6166667;11.6833333;11;
2;India;Andaman And Nicobar Island;Mannar Ghat;92.7166667;11.7666667;11;
2;India;Andaman And Nicobar Island;Manjeri;92.6666667;11.5833333;11;
2;India;Andaman And Nicobar Island;Manglutan;92.65;11.5833333;11;
2;India;Andaman And Nicobar Island;Malappuram;92.7166667;11.7833333;11;
2;India;Andaman And Nicobar Island;Malacca;92.8166667;9.1666667;11;
2;India;Andaman And Nicobar Island;Maitaita-anla;93.8833333;6.8333333;11;
2;India;Andaman And Nicobar Island;Maimyo;92.6333333;11.6;11;
2;India;Andaman And Nicobar Island;Lopate;92.8;9.2166667;11;
2;India;Andaman And Nicobar Island;Lapate;92.8;9.2166667;11;
2;India;Andaman And Nicobar Island;Laksi;93.15;8.2166667;11;
2;India;Andaman And Nicobar Island;Laful;93.8666667;7.1666667;11;
2;India;Andaman And Nicobar Island;Kwate tu Kwage;92.5666667;10.6166667;11;
2;India;Andaman And Nicobar Island;Kwachengui;92.6;10.5833333;11;
2;India;Andaman And Nicobar Island;Kola-rue;93.1666667;8.2333333;11;
2;India;Andaman And Nicobar Island;Koi-mekeah;93.35;7.9166667;11;
2;India;Andaman And Nicobar Island;Koi-hoa;93.4833333;8.2;11;
2;India;Andaman And Nicobar Island;Kire-Henpoan;93.3833333;7.9833333;11;
2;India;Andaman And Nicobar Island;Kimus;92.7833333;9.1333333;11;
2;India;Andaman And Nicobar Island;Kerawa;93.1166667;8.25;11;
2;India;Andaman And Nicobar Island;Kemios;92.7833333;9.1333333;11;
2;India;Andaman And Nicobar Island;Keaiya;93.4666667;8.1833333;11;
2;India;Andaman And Nicobar Island;Kartara;92.75;12.7333333;11;
2;India;Andaman And Nicobar Island;Karen village;92.8833333;12.85;11;
2;India;Andaman And Nicobar Island;Karen;92.8833333;12.85;11;
2;India;Andaman And Nicobar Island;Kanalla;93.9166667;6.9666667;11;
2;India;Andaman And Nicobar Island;Kakana;92.8;9.1166667;11;
2;India;Andaman And Nicobar Island;Jangli Ghat;92.7333333;11.6666667;11;
2;India;Andaman And Nicobar Island;Jalebar;92.9333333;12.0166667;11;
2;India;Andaman And Nicobar Island;Ingoitijala;92.35;10.55;11;
2;India;Andaman And Nicobar Island;Ingoie;92.4833333;10.5166667;11;
2;India;Andaman And Nicobar Island;Inaka;93.5333333;8.0666667;11;
2;India;Andaman And Nicobar Island;Ilichar;92.8666667;13.2166667;11;
2;India;Andaman And Nicobar Island;Ignoitijala;92.35;10.55;11;
2;India;Andaman And Nicobar Island;Hope Town;92.7333333;11.6666667;11;
2;India;Andaman And Nicobar Island;Homfrayganj;92.6666667;11.6;11;
2;India;Andaman And Nicobar Island;Hobdaypur;92.65;11.65;11;
2;India;Andaman And Nicobar Island;Hinam;93.0833333;8.25;11;
2;India;Andaman And Nicobar Island;Heya;93.7;7.4166667;11;
2;India;Andaman And Nicobar Island;Herbertabad;92.6166667;11.7166667;11;
2;India;Andaman And Nicobar Island;Herberiabad;92.6166667;11.7166667;11;
2;India;Andaman And Nicobar Island;Heoin;93.1;8.3166667;11;
2;India;Andaman And Nicobar Island;Hen€aha;93.8166667;6.8166667;11;
2;India;Andaman And Nicobar Island;Henpoin;93.7666667;6.8666667;11;
2;India;Andaman And Nicobar Island;Henhoaha;93.8166667;6.8166667;11;
2;India;Andaman And Nicobar Island;Hastmatabad;92.6333333;11.6;11;
2;India;Andaman And Nicobar Island;Haoin;93.1;8.3166667;11;
2;India;Andaman And Nicobar Island;Haddo;92.7166667;11.6833333;11;
2;India;Andaman And Nicobar Island;Goplakabang;92.7166667;11.7666667;11;
2;India;Andaman And Nicobar Island;Geinyale;92.5333333;10.5666667;11;
2;India;Andaman And Nicobar Island;Garacherama;92.7166667;11.6166667;11;
2;India;Andaman And Nicobar Island;Eoya;93.1;8.2833333;11;
2;India;Andaman And Nicobar Island;Enounga;93.5333333;8.0166667;11;
2;India;Andaman And Nicobar Island;Endea-geleda;92.35;10.6833333;11;
2;India;Andaman And Nicobar Island;Dolyganj;92.6333333;11.6333333;11;
2;India;Andaman And Nicobar Island;Dit-dak;93.6333333;7.3166667;11;
2;India;Andaman And Nicobar Island;Diglipur;93;13.2666667;11;
2;India;Andaman And Nicobar Island;Dak-omkeli;93.65;7.0833333;11;
2;India;Andaman And Nicobar Island;Dak-omkeh;93.65;7.0833333;11;
2;India;Andaman And Nicobar Island;Dakoank;93.7166667;7.0333333;11;
2;India;Andaman And Nicobar Island;Chingenh;93.8497222;6.8083333;11;
2;India;Andaman And Nicobar Island;Chetamale;92.55;10.7166667;11;
2;India;Andaman And Nicobar Island;Chanumla;93.0833333;8.3166667;11;
2;India;Andaman And Nicobar Island;Chanumia;93.1;8.35;11;
2;India;Andaman And Nicobar Island;Calicut;92.7333333;11.6;11;
2;India;Andaman And Nicobar Island;Bumlitan;92.7;11.6166667;11;
2;India;Andaman And Nicobar Island;Brookesabad;92.75;11.6166667;11;
2;India;Andaman And Nicobar Island;Bonington;92.9;12.9166667;11;
2;India;Andaman And Nicobar Island;Birchganj;92.75;11.6166667;11;
2;India;Andaman And Nicobar Island;Bindraban;92.6666667;11.7166667;11;
2;India;Andaman And Nicobar Island;Betapur;92.9;12.7166667;11;
2;India;Andaman And Nicobar Island;Bengala;93.1;8.3166667;11;
2;India;Andaman And Nicobar Island;Beadonabad;92.7333333;11.5833333;11;
2;India;Andaman And Nicobar Island;Bananga;93.9;6.95;11;
2;India;Andaman And Nicobar Island;Bamboo Flat;92.7166667;11.7;11;
2;India;Andaman And Nicobar Island;Bajajag;92.6666667;11.7166667;11;
2;India;Andaman And Nicobar Island;Austinabad;92.75;11.6333333;11;
2;India;Andaman And Nicobar Island;Arong;92.7166667;9.1666667;11;
2;India;Andaman And Nicobar Island;Arainj-laka-punga;92.7166667;12.6;11;
2;India;Andaman And Nicobar Island;Anowa;93.55;7.9666667;11;
2;India;Andaman And Nicobar Island;Alipur;92.6833333;11.7333333;11;
2;India;Andaman And Nicobar Island;Aberdeen;92.7333333;11.6666667;11;
2;India;Andhra Pradesh;Zuvvaladinne;80.0666667;14.8;11;
2;India;Andhra Pradesh;Zulakallu;79.8;16.45;11;
2;India;Andhra Pradesh;Zangareddigudem;81.3;17.1166667;11;
2;India;Andhra Pradesh;Zaladanki;79.9166667;14.8833333;11;
2;India;Andhra Pradesh;Zahirabad;77.6166667;17.6833333;11;
2;India;Andhra Pradesh;Yerur;80.05;14.1666667;11;
2;India;Andhra Pradesh;Yerupalem;80.4666667;16.8333333;11;
2;India;Andhra Pradesh;Yerravaripallem;79.15;13.7166667;11;
2;India;Andhra Pradesh;Yerravaripalem;79.15;13.7166667;11;
2;India;Andhra Pradesh;Yerraguntla;78.5333333;14.6333333;11;
2;India;Andhra Pradesh;Yerragunlakota;79.2833333;13.9666667;11;
2;India;Andhra Pradesh;Yerpedu;79.6;13.6833333;11;
2;India;Andhra Pradesh;Yergipalli;78.0483333;17.6330556;11;
2;India;Andhra Pradesh;Yepur;78.9925;17.2013889;11;
2;India;Andhra Pradesh;Yenkatraopet;78.6813889;17.9852778;11;
2;India;Andhra Pradesh;Yenkatapur;78.5922222;17.8477778;11;
2;India;Andhra Pradesh;Yengondla;78.0902778;17.9216667;11;
2;India;Andhra Pradesh;Yengandla;78.0902778;17.9216667;11;
2;India;Andhra Pradesh;Yengalgudam;78.7066667;17.2175;11;
2;India;Andhra Pradesh;Yenagandi Tanda;78.8483333;17.1975;11;
2;India;Andhra Pradesh;Yemjal;78.5766667;17.2694444;11;
2;India;Andhra Pradesh;Yelwarti;78.1447222;17.4286111;11;
2;India;Andhra Pradesh;Yelmokanni;78.2338889;17.9152778;11;
2;India;Andhra Pradesh;Yelmakanna;78.9580556;17.0911111;11;
2;India;Andhra Pradesh;Yellasiri;80.0333333;13.9333333;11;
2;India;Andhra Pradesh;Yellargiri;78.8408333;17.2675;11;
2;India;Andhra Pradesh;Yellareddi;78.0333333;18.2;11;
2;India;Andhra Pradesh;Yellanur;78.0833333;14.7;11;
2;India;Andhra Pradesh;Yellandu;80.3333333;17.6;11;
2;India;Andhra Pradesh;Yellandrapad;80.3333333;17.6;11;
2;India;Andhra Pradesh;Yellandlapad;80.3333333;17.6;11;
2;India;Andhra Pradesh;Yellampalli;78.0336111;17.9841667;11;
2;India;Andhra Pradesh;Yellamanchilli;82.8666667;17.55;11;
2;India;Andhra Pradesh;Yellamanchili;82.8666667;17.55;11;
2;India;Andhra Pradesh;Yellakurti;78.0758333;17.9708333;11;
2;India;Andhra Pradesh;Yellakonda;78.0372222;17.4391667;11;
2;India;Andhra Pradesh;Yelkicherla;78.0838889;17.0752778;11;
2;India;Andhra Pradesh;Yelkaturti;79.45;18.1;11;
2;India;Andhra Pradesh;Yelkatur;78.8916667;17.9866667;11;
2;India;Andhra Pradesh;Yeljal;78.35;16.8333333;11;
2;India;Andhra Pradesh;Yeliminedu;78.5938889;17.1461111;11;
2;India;Andhra Pradesh;Yelgonda;79.0666667;18.8833333;11;
2;India;Andhra Pradesh;Yelatturdibba;80.8833333;15.7666667;11;
2;India;Andhra Pradesh;Yedira;78.0025;17.0297222;11;
2;India;Andhra Pradesh;Yedapalli;77.9666667;18.6833333;11;
2;India;Andhra Pradesh;Yawapur;78.5113889;17.82;11;
2;India;Andhra Pradesh;Yarvaguda;78.1261111;17.4088889;11;
2;India;Andhra Pradesh;Yarawaram;78.0216667;17.8572222;11;
2;India;Andhra Pradesh;Yarapalli;78.7744444;17.9252778;11;
2;India;Andhra Pradesh;Yarada;83.2666667;17.65;11;
2;India;Andhra Pradesh;Yapral;78.5425;17.5052778;11;
2;India;Andhra Pradesh;Yankataipalli;78.5238889;17.8477778;11;
2;India;Andhra Pradesh;Yanaon;82.2166667;16.7333333;11;
2;India;Andhra Pradesh;Yanam;82.2166667;16.7333333;11;
2;India;Andhra Pradesh;Yamjal;78.5766667;17.2694444;11;
2;India;Andhra Pradesh;Yamanpalli;79.85;19.1;11;
2;India;Andhra Pradesh;Yaltur;77.9997222;17.6458333;11;
2;India;Andhra Pradesh;Yallamma Tanda;78.7536111;17.0697222;11;
2;India;Andhra Pradesh;Yadpalli;77.9666667;18.6833333;11;
2;India;Andhra Pradesh;Yadiki;77.8833333;15.05;11;
2;India;Andhra Pradesh;Yadgirpalli;78.6338889;17.5455556;11;
2;India;Andhra Pradesh;Yadgarpalli;79.5833333;16.8333333;11;
2;India;Andhra Pradesh;Yadawaram;78.5758333;17.6663889;11;
2;India;Andhra Pradesh;Yacharam;78.6666667;17.0458333;11;
2;India;Andhra Pradesh;Wynchpet;80.6;16.5166667;11;
2;India;Andhra Pradesh;Wudemari;78.6811111;17.6183333;11;
2;India;Andhra Pradesh;West Godavari;81.1;16.7;11;
2;India;Andhra Pradesh;Welijorla;78.2716667;17.0416667;11;
2;India;Andhra Pradesh;Wazirabad;79.6666667;16.7;11;
2;India;Andhra Pradesh;Watipalli;78.8530556;17.8216667;11;
2;India;Andhra Pradesh;Wati Nagalapalli;78.2927778;17.4172222;11;
2;India;Andhra Pradesh;Wasalmari;78.8133333;17.6713889;11;
2;India;Andhra Pradesh;Warkatpalli;78.9447222;17.3438889;11;
2;India;Andhra Pradesh;Warigurtam;78.1697222;17.9436111;11;
2;India;Andhra Pradesh;Warga;78.6172222;17.7752778;11;
2;India;Andhra Pradesh;Warangal;79.5833333;18;11;
2;India;Andhra Pradesh;Wanparti;78.0666667;16.3666667;11;
2;India;Andhra Pradesh;Wanpalli;78.0075;17.1202778;11;
2;India;Andhra Pradesh;Wanaparthy;78.0666667;16.3666667;11;
2;India;Andhra Pradesh;Wamal;78.7411111;17.9438889;11;
2;India;Andhra Pradesh;Walur;78.5441667;17.8030556;11;
2;India;Andhra Pradesh;Waltair;83.3333333;17.7166667;11;
2;India;Andhra Pradesh;Wakri;79.3333333;19.4833333;11;
2;India;Andhra Pradesh;Wajrakarur;77.3833333;15.0166667;11;
2;India;Andhra Pradesh;Wailapall;78.9;17.0977778;11;
2;India;Andhra Pradesh;Wailal;78.3527778;17.6205556;11;
2;India;Andhra Pradesh;Waddiaram;78.4663889;17.9611111;11;
2;India;Andhra Pradesh;Waddapalli;78.5780556;17.8772222;11;
2;India;Andhra Pradesh;Wadaparti;78.8272222;17.5513889;11;
2;India;Andhra Pradesh;Vyaparla;78.0666667;16.0666667;11;
2;India;Andhra Pradesh;Vuyyuru;80.85;16.3666667;11;
2;India;Andhra Pradesh;Volteir;83.3333333;17.7166667;11;
2;India;Andhra Pradesh;Vizianagram City;83.4166667;18.1166667;11;
2;India;Andhra Pradesh;Vizianagram;83.4166667;18.1166667;11;
2;India;Andhra Pradesh;Vizianagaram;83.4166667;18.1166667;11;
2;India;Andhra Pradesh;Vizagapatam;83.3;17.7;11;
2;India;Andhra Pradesh;Vizag;83.3;17.7;11;
2;India;Andhra Pradesh;Vissannapeta;80.7833333;16.95;11;
2;India;Andhra Pradesh;Visnur;79.4166667;17.6333333;11;
2;India;Andhra Pradesh;Vishakhapatnam;83.3;17.7;11;
2;India;Andhra Pradesh;Visakhapatnam;83.3;17.7;11;
2;India;Andhra Pradesh;Viravilli;80.9333333;16.6333333;11;
2;India;Andhra Pradesh;Viravalli;80.9333333;16.6333333;11;
2;India;Andhra Pradesh;Virareddipeta;78.65;14.8333333;11;
2;India;Andhra Pradesh;Virapalle;78.85;14.1666667;11;
2;India;Andhra Pradesh;Virampalli;79.8166667;14.2833333;11;
2;India;Andhra Pradesh;Virampalle;79.8166667;14.2833333;11;
2;India;Andhra Pradesh;Viraghattam;83.6;18.6833333;11;
2;India;Andhra Pradesh;Vinukonda;79.75;16.05;11;
2;India;Andhra Pradesh;Vinnadivaram;79.55;16.0166667;11;
2;India;Andhra Pradesh;Vinjamur;79.5833333;14.8333333;11;
2;India;Andhra Pradesh;Vinjamoor;79.5833333;14.8333333;11;
2;India;Andhra Pradesh;Vindur;79.8166667;14.1833333;11;
2;India;Andhra Pradesh;Vikarabad;77.9;17.3333333;11;
2;India;Andhra Pradesh;Vijrakarur;77.3833333;15.0166667;11;
2;India;Andhra Pradesh;Vijilapuram;78.4666667;12.8333333;11;
2;India;Andhra Pradesh;Vijayawada Buckinghampet;80.6333333;16.5;11;
2;India;Andhra Pradesh;Vijayawada;80.6166667;16.5166667;11;
2;India;Andhra Pradesh;Vijayavada;80.6166667;16.5166667;11;
2;India;Andhra Pradesh;Vijayarayi;81.0333333;16.8166667;11;
2;India;Andhra Pradesh;Vijalapuram;78.4666667;12.8333333;11;
2;India;Andhra Pradesh;Viguyanagram;83.4166667;18.1166667;11;
2;India;Andhra Pradesh;Vidapanakallu;77.1833333;15.0666667;11;
2;India;Andhra Pradesh;Vicarabad;77.9;17.3333333;11;
2;India;Andhra Pradesh;Vetapalem;80.3166667;15.7833333;11;
2;India;Andhra Pradesh;Venkatraopet;78.2211111;17.8180556;11;
2;India;Andhra Pradesh;Venkatapuram;78.2452778;17.2513889;11;
2;India;Andhra Pradesh;Venkatapur;78.2452778;17.2513889;11;
2;India;Andhra Pradesh;Venkatagirikota;78.5;13;11;
2;India;Andhra Pradesh;Venkatagiri Town;79.5833333;13.9666667;11;
2;India;Andhra Pradesh;Venkatagiri;79.5833333;13.9666667;11;
2;India;Andhra Pradesh;Venkatachellum;79.9166667;14.3166667;11;
2;India;Andhra Pradesh;Venkatachelam;79.9166667;14.3166667;11;
2;India;Andhra Pradesh;Venkata Kristnapuram;78.1166667;17.6872222;11;
2;India;Andhra Pradesh;Vengannapalem;80.5;17.4166667;11;
2;India;Andhra Pradesh;Venadu;80.15;13.6333333;11;
2;India;Andhra Pradesh;Vemulavada;78.8833333;18.4666667;11;
2;India;Andhra Pradesh;Vemulachedu;79.6666667;14.1333333;11;
2;India;Andhra Pradesh;Vempalle;78.4666667;14.3666667;11;
2;India;Andhra Pradesh;Vemalwada;78.8833333;18.4666667;11;
2;India;Andhra Pradesh;Velugodu;78.5833333;15.7166667;11;
2;India;Andhra Pradesh;Veludurti;79.3666667;16.35;11;
2;India;Andhra Pradesh;Vellaturu;78.6666667;14.4666667;11;
2;India;Andhra Pradesh;Vellanti;79.8166667;14.4666667;11;
2;India;Andhra Pradesh;Velimela;78.2363889;17.4755556;11;
2;India;Andhra Pradesh;Veldurti;77.9166667;15.5666667;11;
2;India;Andhra Pradesh;Velchal;79.6166667;18.4166667;11;
2;India;Andhra Pradesh;Velampalle;80.0166667;15.6333333;11;
2;India;Andhra Pradesh;Veeraghattam;83.6;18.6833333;11;
2;India;Andhra Pradesh;Vedullacheruvu;79.2333333;15.35;11;
2;India;Andhra Pradesh;Vedichela;79.7666667;14.1;11;
2;India;Andhra Pradesh;Vayalpad;78.6333333;13.65;11;
2;India;Andhra Pradesh;Vatturupallepalem;80.0833333;14.85;11;
2;India;Andhra Pradesh;Variguntapadur;79.4166667;14.9833333;11;
2;India;Andhra Pradesh;Variguntapadu;79.4166667;14.9833333;11;
2;India;Andhra Pradesh;Vardannapet;79.5666667;17.7666667;11;
2;India;Andhra Pradesh;Vardamankot;79.45;17.3666667;11;
2;India;Andhra Pradesh;Varakuru;78.1833333;15.6833333;11;
2;India;Andhra Pradesh;Varakallu;78.1833333;15.6833333;11;
2;India;Andhra Pradesh;Varadiapalem;79.9333333;13.6;11;
2;India;Andhra Pradesh;Varadayyapalaiyam;79.9333333;13.6;11;
2;India;Andhra Pradesh;Vanipenta;78.7833333;14.8;11;
2;India;Andhra Pradesh;Valigonda;79.05;17.3666667;11;
2;India;Andhra Pradesh;Valassala;77.9666667;15.3833333;11;
2;India;Andhra Pradesh;Valasarapalli;79.7666667;14.45;11;
2;India;Andhra Pradesh;Valasala;77.9666667;15.3833333;11;
2;India;Andhra Pradesh;Valaparla;80.05;15.9166667;11;
2;India;Andhra Pradesh;Valaparia;80.05;15.9166667;11;
2;India;Andhra Pradesh;Valamuru;81.6333333;17.6166667;11;
2;India;Andhra Pradesh;Vakalapudi;82.2833333;17.0166667;11;
2;India;Andhra Pradesh;Vajrakarur;77.3833333;15.0166667;11;
2;India;Andhra Pradesh;Vaisakhapattanam;83.3;17.7;11;
2;India;Andhra Pradesh;Vaimsur;80.8;17.1333333;11;
2;India;Andhra Pradesh;Vaimesur;80.8;17.1333333;11;
2;India;Andhra Pradesh;Vadlapudi;79.8;14.3166667;11;
2;India;Andhra Pradesh;Vaddepa;82.6;17.7333333;11;
2;India;Andhra Pradesh;Vaddadi;82.8833333;17.85;11;
2;India;Andhra Pradesh;Vadarevu;80.4166667;15.8;11;
2;India;Andhra Pradesh;Vadamalapet;79.5166667;13.5666667;11;
2;India;Andhra Pradesh;Vadamala;79.5166667;13.5666667;11;
2;India;Andhra Pradesh;Uyyalavada;78.4166667;15.1;11;
2;India;Andhra Pradesh;Utukuru;79.7333333;14.2333333;11;
2;India;Andhra Pradesh;Uttukuru;80.15;14.5666667;11;
2;India;Andhra Pradesh;Uttaravilli;83.4833333;18.4666667;11;
2;India;Andhra Pradesh;Utsapalem;79.6666667;14.3666667;11;
2;India;Andhra Pradesh;Utrasualli;78.0780556;17.1433333;11;
2;India;Andhra Pradesh;Utnur;78.7666667;19.3666667;11;
2;India;Andhra Pradesh;Utlapalli;78.5280556;17.0158333;11;
2;India;Andhra Pradesh;Utla;78.31;17.6316667;11;
2;India;Andhra Pradesh;Utkur;77.5166667;16.65;11;
2;India;Andhra Pradesh;Utarpalli;78.0666667;17.5483333;11;
2;India;Andhra Pradesh;Usur;80.7333333;18.4833333;11;
2;India;Andhra Pradesh;Ustikoilpenta;79.0333333;13.85;11;
2;India;Andhra Pradesh;Ustekayalapenta;79.0333333;13.85;11;
2;India;Andhra Pradesh;Ustakayalapenta;79.0333333;13.85;11;
2;India;Andhra Pradesh;Uravakonda;77.2666667;14.95;11;
2;India;Andhra Pradesh;Uralla;78.13;17.3563889;11;
2;India;Andhra Pradesh;Upputuru;79.8;14.4333333;11;
2;India;Andhra Pradesh;Uppugunduru;80.1666667;15.6666667;11;
2;India;Andhra Pradesh;Upper Tirupati;79.35;13.6833333;11;
2;India;Andhra Pradesh;Upparguda;78.615;17.1897222;11;
2;India;Andhra Pradesh;Uppalapadu;78.0333333;15.1666667;11;
2;India;Andhra Pradesh;Uppalaguptam;82.1;16.5666667;11;
2;India;Andhra Pradesh;Uppal;77.6666667;15.9666667;11;
2;India;Andhra Pradesh;Uppai;77.6666667;15.9666667;11;
2;India;Andhra Pradesh;Uppada;82.3333333;17.0833333;11;
