"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;Sweden;Skåne;Bjärnum;;E13.70;N56.28;10;
2;Sweden;Skåne;Bjärred;;E13.02;N55.72;10;
2;Sweden;Västernorrland;Bjästa;;E18.50;N63.20;10;
2;Sweden;Dalarna;Björbo;;E;N;10;
2;Sweden;Västra Götaland;Björboholm;;E12.32;N57.88;10;
2;Sweden;Uppsala;Björklinge;;E;N;10;
2;Sweden;Västra Götaland;Björkö;;E11.67;N57.73;10;
2;Sweden;Värmland;Björneborg;;E14.25;N59.25;10;
2;Sweden;Södermanland;Björnlunda;;E17.15;N59.07;10;
2;Sweden;Västerbotten;Bjurholm;;E19.22;N63.93;10;
2;Sweden;Dalarna;Bjursås;;E15.43;N60.73;10;
2;Sweden;Skåne;Bjuv;;E12.90;N56.08;10;
2;Sweden;Skåne;Blentarp;;E13.60;N55.58;10;
2;Sweden;Kalmar;Blomstermåla;;E16.33;N56.98;10;
2;Sweden;Jönköping;Bodafors;;E14.70;N57.50;10;
2;Sweden;Norrbotten;Boden;;E21.70;N65.83;10;
2;Sweden;Västerbotten;Boliden;;E20.38;N64.87;10;
2;Sweden;Västra Götaland;Bollebygd;;E12.55;N57.67;10;
2;Sweden;Gävleborg;Bollnäs;;E16.39;N61.35;10;
2;Sweden;Västernorrland;Bollstabruk;;E17.68;N63.00;10;
2;Sweden;Stockholm;Boo;;E18.14;N59.31;10;
2;Sweden;Jönköping;Bor;;E14.17;N57.12;10;
2;Sweden;Västra Götaland;Borås;;E12.94;N57.73;10;
2;Sweden;Östergötland;Borensberg;;E15.28;N58.57;10;
2;Sweden;Kalmar;Borgholm;;E16.65;N56.88;10;
2;Sweden;Dalarna;Borlänge;;E15.44;N60.49;10;
2;Sweden;Skåne;Borrby;;E14.17;N55.45;10;
2;Sweden;Jönköping;Bottnaryd;;E13.82;N57.77;10;
2;Sweden;Östergötland;Boxholm;;E15.05;N58.20;10;
2;Sweden;Kronoberg;Braås;;E15.05;N57.07;10;
2;Sweden;Jämtland;Bräcke;;E;N;10;
2;Sweden;Blekinge;Bräkne-Hoby;;E15.12;N56.23;10;
2;Sweden;Västra Götaland;Brålanda;;E12.37;N58.57;10;
2;Sweden;Västra Götaland;Brännö;;E;N;10;
2;Sweden;Västra Götaland;Brastad;;E11.48;N58.38;10;
2;Sweden;Jönköping;Bredaryd;;E13.73;N57.17;10;
2;Sweden;Västernorrland;Bredbyn;;E;N;10;
2;Sweden;Stockholm;Brevik;;E;N;10;
2;Sweden;Stockholm;Brevikshalvön;;E;N;10;
2;Sweden;Stockholm;Bro;;E;N;10;
2;Sweden;Skåne;Broby;;E;N;10;
2;Sweden;Skåne;Bromölla;;E14.47;N56.07;10;
2;Sweden;Skåne;Brösarp;;E14.12;N55.72;10;
2;Sweden;Jämtland;Brunflo;;E14.82;N63.08;10;
2;Sweden;Stockholm;Brunn;;E;N;10;
2;Sweden;Stockholm;Brunna;;E17.75;N59.52;10;
2;Sweden;Halland;Bua;;E12.13;N57.23;10;
2;Sweden;Skåne;Bunkeflostrand;;E12.95;N55.53;10;
2;Sweden;Västerbotten;Bureå;;E21.20;N64.62;10;
2;Sweden;Jönköping;Burseryd;;E;N;10;
2;Sweden;Västerbotten;Burträsk;;E20.65;N64.52;10;
2;Sweden;Västerbotten;Byske;;E21.20;N64.95;10;
2;Sweden;Värmland;Charlottenberg;;E12.28;N59.88;10;
2;Sweden;Stockholm;Dalarö;;E18.41;N59.13;10;
2;Sweden;Skåne;Dalby;;E13.33;N55.67;10;
2;Sweden;Västra Götaland;Dalsjöfors;;E13.08;N57.72;10;
2;Sweden;Västra Götaland;Dals Långed;;E12.30;N58.92;10;
2;Sweden;Västra Götaland;Dals Rostock;;E12.35;N58.72;10;
2;Sweden;Västra Götaland;Dalstorp;;E13.50;N57.62;10;
2;Sweden;Västra Götaland;Dalum;;E;N;10;
2;Sweden;Skåne;Degeberga;;E14.08;N55.83;10;
2;Sweden;Örebro;Degerfors;;E14.43;N59.23;10;
2;Sweden;Värmland;Deje;;E13.47;N59.60;10;
2;Sweden;Gävleborg;Delsbo;;E16.58;N61.80;10;
2;Sweden;Västernorrland;Dingersjö;;E17.38;N62.27;10;
2;Sweden;Västra Götaland;Dingle;;E11.57;N58.53;10;
2;Sweden;Västmanland;Dingtuna;;E16.37;N59.57;10;
2;Sweden;Kronoberg;Diö;;E14.22;N56.63;10;
