3;USA;Arkansas;Boone;Sugar Loaf Township;;W92.9646671;N36.4270646;12;
3;USA;Arkansas;Boone;Summit Township;;W93.2592022;N36.1686247;12;
3;USA;Arkansas;Boone;Zinc Township;;W92.9326798;N36.2798941;12;
3;USA;Arkansas;Bradley;Clay Township;;W92.2665844;N33.545076;12;
3;USA;Arkansas;Bradley;Eagle Township;;W92.1434282;N33.2764564;12;
3;USA;Arkansas;Bradley;Marion Township;;W92.0420184;N33.4640736;12;
3;USA;Arkansas;Bradley;Moro Township;;W92.2559465;N33.6637966;12;
3;USA;Arkansas;Bradley;Ouachita Township;;W92.2263254;N33.415992;12;
3;USA;Arkansas;Bradley;Palestine Township;;W92.0330551;N33.3417355;12;
3;USA;Arkansas;Bradley;Pennington Township;;W92.0952902;N33.6040734;12;
3;USA;Arkansas;Bradley;River Township;;W92.2771956;N33.3086447;12;
3;USA;Arkansas;Bradley;Sumpter Township;;W92.3006347;N33.4112161;12;
3;USA;Arkansas;Bradley;Washington Township;;W92.1347141;N33.43553;12;
3;USA;Arkansas;Carroll;Beaver Township;;W93.8075459;N36.4732928;12;
3;USA;Arkansas;Carroll;Cabanal Township;;W93.5252268;N36.2865709;12;
3;USA;Arkansas;Carroll;Carrollton Township;;W93.3475193;N36.2439694;12;
3;USA;Arkansas;Carroll;Cedar Township;;W93.7766006;N36.41268;12;
3;USA;Arkansas;Carroll;Coin Township;;W93.3325569;N36.3273615;12;
3;USA;Arkansas;Carroll;Cross Township;;W93.6394106;N36.4773979;12;
3;USA;Arkansas;Carroll;Dry Fork Township;;W93.4913305;N36.1522903;12;
3;USA;Arkansas;Carroll;Franklin Township;;W93.711018;N36.4731456;12;
3;USA;Arkansas;Carroll;Hickory Township;;W93.4239931;N36.3482665;12;
3;USA;Arkansas;Carroll;Kings River Township;;W93.6505357;N36.4282171;12;
3;USA;Arkansas;Carroll;Liberty Township;;W93.4468885;N36.261718;12;
3;USA;Arkansas;Carroll;Long Creek Township;;W93.339174;N36.4348129;12;
3;USA;Arkansas;Carroll;North Yocum Township;;W93.4574158;N36.4768489;12;
3;USA;Arkansas;Carroll;Omega Township;;W93.5642401;N36.2134147;12;
3;USA;Arkansas;Carroll;Osage Township;;W93.3758273;N36.1660916;12;
3;USA;Arkansas;Carroll;Packard Springs Township;;W93.795506;N36.3445665;12;
3;USA;Arkansas;Carroll;Piney Township;;W93.4828854;N36.2146423;12;
3;USA;Arkansas;Carroll;Polo Township;;W93.5449028;N36.4475446;12;
3;USA;Arkansas;Carroll;Prairie Township;;W93.5868047;N36.344997;12;
3;USA;Arkansas;Carroll;South Yocum Township;;W93.4318448;N36.4415124;12;
3;USA;Arkansas;Carroll;Winona Township;;W93.6880542;N36.34747;12;
3;USA;Arkansas;Chicot;Bowie Township;;W91.3517248;N33.4888814;12;
3;USA;Arkansas;Chicot;Carlton Township;;W91.294993;N33.3403465;12;
3;USA;Arkansas;Chicot;Planters Township;;W91.2741912;N33.1332939;12;
3;USA;Arkansas;Clark;Caddo Township;;W93.1763675;N34.0509559;12;
3;USA;Arkansas;Clay;Bennett-Lemmons Township;;W90.4035586;N36.4277775;12;
3;USA;Arkansas;Clay;Bradshaw-Haywood Township;;W90.2745284;N36.3460143;12;
3;USA;Arkansas;Clay;Brown-Carpenter Township;;W90.6952114;N36.4629662;12;
3;USA;Arkansas;Clay;Cache-Wilson Township;;W90.5756127;N36.3169095;12;
3;USA;Arkansas;Clay;Chalk Bluff-Liddell Township;;W90.1949678;N36.4565455;12;
3;USA;Arkansas;Clay;Clark Township;;W90.698068;N36.2857174;12;
3;USA;Arkansas;Clay;Cleveland-North Kilgore Township;;W90.556209;N36.4489656;12;
3;USA;Arkansas;Clay;East Oak Bluff-Blue Cane Township;;W90.2260614;N36.2547189;12;
3;USA;Arkansas;Clay;Gleghorn-South Kilgore Township;;W90.59688;N36.381702;12;
3;USA;Arkansas;Clay;Johnson Township;;W90.3907423;N36.3229221;12;
3;USA;Arkansas;Clay;Knob Township;;W90.4360895;N36.2854065;12;
3;USA;Arkansas;Clay;Nelson Township;;W90.7258276;N36.3566856;12;
3;USA;Arkansas;Clay;North Saint Francis Township;;W90.1859245;N36.3976106;12;
3;USA;Arkansas;Clay;Payne-Swain Township;;W90.122063;N36.3131017;12;
3;USA;Arkansas;Clay;Pollard Township;;W90.2831141;N36.4453919;12;
3;USA;Arkansas;Clay;South Saint Francis Township;;W90.1761585;N36.3670009;12;
3;USA;Arkansas;Clay;West Oak Bluff Township;;W90.3138565;N36.2707285;12;
3;USA;Arkansas;Cleburne;Cadron Township;;W92.1974212;N35.3856659;12;
3;USA;Arkansas;Cleburne;California Township;;W92.0533121;N35.6665543;12;
3;USA;Arkansas;Cleburne;Center Post Township;;W92.2054988;N35.4834847;12;
3;USA;Arkansas;Cleburne;Clayton Township;;W92.1361747;N35.4325375;12;
3;USA;Arkansas;Cleburne;East Peter Creek Township;;W91.9426607;N35.5954774;12;
3;USA;Arkansas;Cleburne;Francis Township;;W92.0567656;N35.5758459;12;
3;USA;Arkansas;Cleburne;Giles Township;;W92.1456084;N35.5660295;12;
3;USA;Arkansas;Cleburne;Grassey Township;;W91.8356541;N35.6354158;12;
3;USA;Arkansas;Cleburne;Healing Springs Township;;W91.9400019;N35.666174;12;
3;USA;Arkansas;Cleburne;Heber Township;;W92.0171702;N35.4834582;12;
3;USA;Arkansas;Cleburne;McJester Township;;W91.8130053;N35.4871771;12;
3;USA;Arkansas;Cleburne;Morgan Township;;W92.2040259;N35.6057666;12;
3;USA;Arkansas;Cleburne;Mountain Township;;W91.9656836;N35.4122702;12;
3;USA;Arkansas;Cleburne;North Cadron Township;;W92.2191318;N35.4061689;12;
3;USA;Arkansas;Cleburne;Peter Creek Township;;W91.9420418;N35.5824966;12;
3;USA;Arkansas;Cleburne;Pickens Township;;W91.8920904;N35.4006203;12;
3;USA;Arkansas;Cleburne;Pine Township;;W91.8727189;N35.4760453;12;
3;USA;Arkansas;Cleburne;Piney Township;;W92.0569384;N35.3926345;12;
3;USA;Arkansas;Cleburne;Poff Township;;W92.1959634;N35.6692233;12;
3;USA;Arkansas;Cleburne;Saline Township;;W92.2121887;N35.5489944;12;
3;USA;Arkansas;Cleburne;South Cadron Township;;W92.166411;N35.3778472;12;
3;USA;Arkansas;Cleburne;Sugar Camp Township;;W92.1291787;N35.6558122;12;
3;USA;Arkansas;Cleburne;Sugar Loaf Township;;W91.9299286;N35.4898555;12;
3;USA;Arkansas;Cleburne;Valley Township;;W92.1145332;N35.4962672;12;
3;USA;Arkansas;Cleburne;West Peter Creek Township;;W91.9624074;N35.5481159;12;
3;USA;Arkansas;Cleburne;Wilburn Township;;W91.8520074;N35.531862;12;
